openml_id,modelo,total_time_sec,mean_auc_ovo,mean_accuracy,mean_cross_entropy,best_params,best_score_cv,best_model_info
458,autosklearn,3605.743412733078,0.9999048507179792,0.9960474308300395,0.7236576404287349,,1.0,Ensemble
1049,autosklearn,3604.1915245056152,0.9229600588091154,0.908675799086758,0.2504360733959237,,0.9205882352941176,Ensemble
1050,autosklearn,3608.262226343155,0.8260095011876485,0.8997867803837953,0.269360387954051,,0.9040219378427788,Ensemble
1063,autosklearn,3606.1124601364136,0.772125,0.8089171974522293,0.4326357052822141,,0.8657534246575342,Ensemble
188,autosklearn,3611.899683237076,0.9129695939429012,0.6877828054298643,0.7973718749565315,,0.7411764705882353,Ensemble
307,autosklearn,3603.4816732406616,0.9917695473251028,0.9393939393939394,0.5375570881637595,,0.9781659388646288,Ensemble
469,autosklearn,3600.283135175705,0.5300745624492654,0.1875,1.778260938290715,,0.2391304347826086,Ensemble
40966,autosklearn,3618.251945734024,1.0,1.0,0.0264137744172256,,0.9933862433862434,Ensemble
40982,autosklearn,3620.577562570572,0.9707290986564856,0.8198970840480274,0.6102430975310917,,0.8217967599410898,Ensemble
40994,autosklearn,3616.2566092014313,0.947876447876448,0.9506172839506172,0.331647849343533,,0.9735449735449736,Ensemble
6332,autosklearn,3608.533348321914,0.8265018773466833,0.7469135802469136,0.5034074133616918,,0.776,Ensemble
23381,autosklearn,3599.608409166336,0.524904214559387,0.5733333333333334,0.6887820999613137,,0.7068965517241379,Ensemble
40975,autosklearn,3616.009415626526,0.963769489550122,0.789980732177264,0.6021605550837894,,0.8345864661654135,Ensemble
23,autosklearn,3598.397614479065,0.5,0.4276018099547511,1.0986122886681091,,0.0,Ensemble
29,autosklearn,3597.699516773224,0.8406427221172023,0.7729468599033816,0.5514440865148346,,0.775,Ensemble
31,autosklearn,3612.173510313034,0.7067724867724867,0.7266666666666667,0.5528773879656578,,0.7965367965367965,Ensemble
50,autosklearn,3603.589216947556,0.5,0.3472222222222222,0.6931471805599453,,0.0,Ensemble
1068,autosklearn,3613.142015457153,0.8760869565217392,0.9429429429429428,0.1750878692864921,,0.9445876288659794,Ensemble
1462,autosklearn,3604.084643602371,1.0,1.0,0.0017816940023836,,1.0,Ensemble
1464,autosklearn,3625.830725431442,0.7702512453974443,0.8088888888888889,0.4634569631575034,,0.8068833652007648,Ensemble
1468,autosklearn,3616.10705280304,0.9955954218106996,0.9506172839506172,0.5468443433398571,,0.9616402116402116,Ensemble
1494,autosklearn,3629.3948154449454,0.9372941700044504,0.8832807570977917,0.3019888875024413,,0.8943089430894309,Ensemble
1501,autosklearn,3636.582159757614,0.9964837230465428,0.9288702928870292,0.265219439608503,,0.947085201793722,Ensemble
1510,autosklearn,3612.5883827209473,0.9988317757009346,0.9766081871345028,0.1283299530118722,,0.9773869346733668,Ensemble
